Date,Clicks,Impressions,CTR,Position
2023-12-31,1,12,8.33%,49.42
2023-12-30,1,11,9.09%,38.09
2023-12-29,0,5,0%,49
2023-12-28,0,4,0%,70.75
2023-12-27,0,7,0%,43.71
2023-12-26,0,5,0%,34
2023-12-25,0,7,0%,45.57
2023-12-24,0,9,0%,30.89
2023-12-23,0,4,0%,63
2023-12-22,0,9,0%,26.11
2023-12-21,0,8,0%,46.5
2023-12-20,0,8,0%,53.62
2023-12-19,0,14,0%,26.21
2023-12-18,0,8,0%,49.12
2023-12-17,0,7,0%,24.57
2023-12-16,1,14,7.14%,29.86
2023-12-15,0,6,0%,50.17
2023-12-14,0,7,0%,40
2023-12-13,0,6,0%,49.33
2023-12-12,0,16,0%,35.31
2023-12-11,1,10,10%,18.7
2023-12-10,0,14,0%,28.43
2023-12-09,0,12,0%,29.33
2023-12-08,0,7,0%,56
2023-12-07,0,6,0%,30
2023-12-06,1,9,11.11%,24.44
2023-12-05,0,5,0%,36.4
2023-12-04,1,4,25%,34.75
2023-12-03,1,12,8.33%,36.08
2023-12-02,0,9,0%,44
2023-12-01,0,3,0%,55.33
2023-11-30,1,7,14.29%,37
2023-11-29,0,8,0%,31.5
2023-11-28,0,6,0%,29.17
2023-11-27,0,5,0%,29.8
2023-11-26,0,7,0%,38.86
2023-11-25,0,6,0%,56.33
2023-11-24,1,11,9.09%,33.91
2023-11-23,0,6,0%,29.83
2023-11-22,0,11,0%,32.91
2023-11-21,0,17,0%,21.18
2023-11-20,1,10,10%,33.8
2023-11-19,1,13,7.69%,23.69
2023-11-18,0,11,0%,36.91
2023-11-17,0,11,0%,33.55
2023-11-16,0,7,0%,30.14
2023-11-15,1,13,7.69%,16.77
2023-11-14,0,13,0%,26.38
2023-11-13,0,15,0%,23.87
2023-11-12,0,10,0%,22.3
2023-11-11,0,17,0%,36.41
2023-11-10,1,20,5%,22.6
2023-11-09,0,15,0%,33.53
2023-11-08,0,10,0%,35
2023-11-07,0,15,0%,33.27
2023-11-06,0,18,0%,26.61
2023-11-05,0,10,0%,32.6
2023-11-04,0,15,0%,30
2023-11-03,0,10,0%,26.8
2023-11-02,0,7,0%,23.43
2023-11-01,0,10,0%,23.5
2023-10-31,0,19,0%,22.26
2023-10-30,0,11,0%,18.45
2023-10-29,1,16,6.25%,23.56
2023-10-28,0,11,0%,30.18
2023-10-27,0,12,0%,29.17
2023-10-26,0,15,0%,30.8
2023-10-25,0,10,0%,33.5
2023-10-24,0,9,0%,31.67
2023-10-23,0,15,0%,26.13
2023-10-22,0,7,0%,25.57
2023-10-21,0,12,0%,34
2023-10-20,0,12,0%,35.92
2023-10-19,0,13,0%,34.15
2023-10-18,0,10,0%,30.5
2023-10-17,0,11,0%,26.73
2023-10-16,0,10,0%,31.8
2023-10-15,0,12,0%,24.92
2023-10-14,0,6,0%,39.5
2023-10-13,0,9,0%,35.56
2023-10-12,0,8,0%,34.12
2023-10-11,0,11,0%,31.64
2023-10-10,0,14,0%,31.14
2023-10-09,0,10,0%,31.6
2023-10-08,0,10,0%,22.8
2023-10-07,0,8,0%,46.25
2023-10-06,0,12,0%,29
2023-10-05,0,10,0%,35.7
2023-10-04,1,15,6.67%,23.73
2023-10-03,0,14,0%,25
2023-10-02,0,15,0%,22.73
2023-10-01,0,9,0%,23
2023-09-30,0,12,0%,47.5
2023-09-29,0,12,0%,26.67
2023-09-28,0,13,0%,25.92
2023-09-27,0,14,0%,35
2023-09-26,1,19,5.26%,33.26
2023-09-25,0,12,0%,35.67
2023-09-24,0,10,0%,32
2023-09-23,0,17,0%,41.35
2023-09-22,0,9,0%,29.11
2023-09-21,0,5,0%,26.2
2023-09-20,0,10,0%,34.3
2023-09-19,1,12,8.33%,21.83
2023-09-18,1,16,6.25%,24.56
2023-09-17,0,17,0%,33.29
2023-09-16,0,15,0%,39.4
2023-09-15,0,13,0%,17.77
2023-09-14,0,12,0%,38.5
2023-09-13,0,7,0%,27.71
2023-09-12,0,19,0%,29.84
